mrna_id	n_lncRNAs	GeneID	Symbol	description	type_of_gene	match_type
LOC111135694	29	111135694	LOC111135694	uncharacterized LOC111135694	protein-coding	Symbol
LOC111135828	29	111135828	LOC111135828	V-type proton ATPase subunit d 1-like	protein-coding	Symbol
LOC111137482	29	111137482	LOC111137482	adenosine deaminase domain-containing protein 1-like	protein-coding	Symbol
LOC111137519	29	111137519	LOC111137519	sesquipedalian-1-like	protein-coding	Symbol
LOC111137647	29	111137647	LOC111137647	ras-related protein Rab-24-like	protein-coding	Symbol
LOC111099803	28	111099803	LOC111099803	uncharacterized LOC111099803	protein-coding	Symbol
LOC111100596	28	111100596	LOC111100596	monocarboxylate transporter 13-like	protein-coding	Symbol
LOC111101228	28	111101228	LOC111101228	centrosomal protein of 57 kDa-like	protein-coding	Symbol
LOC111101505	28	111101505	LOC111101505	cadherin EGF LAG seven-pass G-type receptor 1-like	protein-coding	Symbol
LOC111101763	28	NA	NA	NA	NA	NA
LOC111102600	28	111102600	LOC111102600	uncharacterized LOC111102600	protein-coding	Symbol
LOC111103905	28	111103905	LOC111103905	uncharacterized LOC111103905	protein-coding	Symbol
LOC111104244	28	111104244	LOC111104244	thymidylate synthase-like	protein-coding	Symbol
LOC111105305	28	NA	NA	NA	NA	NA
LOC111107584	28	111107584	LOC111107584	ATP-dependent RNA helicase DDX54-like	protein-coding	Symbol
LOC111108256	28	111108256	LOC111108256	zinc finger protein 862-like	protein-coding	Symbol
LOC111108257	28	NA	NA	NA	NA	NA
LOC111108439	28	111108439	LOC111108439	plexin-B-like	protein-coding	Symbol
LOC111108855	28	NA	NA	NA	NA	NA
LOC111109594	28	NA	NA	NA	NA	NA
LOC111110086	28	NA	NA	NA	NA	NA
LOC111110591	28	111110591	LOC111110591	sodium-dependent proline transporter-like	protein-coding	Symbol
LOC111111739	28	111111739	LOC111111739	mitochondrial ribosome-associated GTPase 1-like	protein-coding	Symbol
LOC111112344	28	111112344	LOC111112344	uncharacterized LOC111112344	protein-coding	Symbol
LOC111112553	28	111112553	LOC111112553	uncharacterized LOC111112553	protein-coding	Symbol
LOC111112881	28	111112881	LOC111112881	BTB/POZ domain-containing protein 6-B-like	protein-coding	Symbol
LOC111115008	28	NA	NA	NA	NA	NA
LOC111118389	28	111118389	LOC111118389	protein YIPF1-like	protein-coding	Symbol
LOC111118542	28	111118542	LOC111118542	centrosomal protein 20-like	protein-coding	Symbol
LOC111119427	28	111119427	LOC111119427	large ribosomal subunit protein mL45-like	protein-coding	Symbol
LOC111119431	28	111119431	LOC111119431	alpha-L-fucosidase-like	protein-coding	Symbol
LOC111120235	28	111120235	LOC111120235	caspase-7-like	protein-coding	Symbol
LOC111121016	28	NA	NA	NA	NA	NA
LOC111121610	28	111121610	LOC111121610	mitochondrial import inner membrane translocase subunit Tim29-like	protein-coding	Symbol
LOC111124747	28	111124747	LOC111124747	uncharacterized LOC111124747	protein-coding	Symbol
LOC111125575	28	111125575	LOC111125575	V-type proton ATPase catalytic subunit A	protein-coding	Symbol
LOC111126280	28	111126280	LOC111126280	uncharacterized LOC111126280	protein-coding	Symbol
LOC111126518	28	111126518	LOC111126518	low-density lipoprotein receptor-related protein 4-like	protein-coding	Symbol
LOC111126803	28	111126803	LOC111126803	actin-related protein 5-like	protein-coding	Symbol
LOC111128347	28	NA	NA	NA	NA	NA
LOC111128578	28	111128578	LOC111128578	cholecystokinin receptor-like	protein-coding	Symbol
LOC111129181	28	NA	NA	NA	NA	NA
LOC111130068	28	NA	NA	NA	NA	NA
LOC111130364	28	111130364	LOC111130364	DNA repair protein RAD51 homolog 2-like	protein-coding	Symbol
LOC111131010	28	111131010	LOC111131010	uncharacterized LOC111131010	protein-coding	Symbol
LOC111132566	28	111132566	LOC111132566	uncharacterized LOC111132566	protein-coding	Symbol
LOC111133010	28	111133010	LOC111133010	uncharacterized LOC111133010	protein-coding	Symbol
LOC111133499	28	111133499	LOC111133499	uncharacterized LOC111133499	protein-coding	Symbol
LOC111133797	28	111133797	LOC111133797	DNA damage-binding protein 2-like	protein-coding	Symbol
LOC111134414	28	111134414	LOC111134414	monocarboxylate transporter 12-like	protein-coding	Symbol
LOC111134737	28	111134737	LOC111134737	vitamin D3 receptor-like	protein-coding	Symbol
LOC111135116	28	111135116	LOC111135116	FAS-associated factor 2-like	protein-coding	Symbol
LOC111135803	28	111135803	LOC111135803	Y+L amino acid transporter 2-like	protein-coding	Symbol
LOC111135819	28	111135819	LOC111135819	ATP-dependent RNA helicase DDX1-like	protein-coding	Symbol
LOC111137406	28	NA	NA	NA	NA	NA
LOC111138108	28	111138108	LOC111138108	cyclin-dependent kinase 10-like	protein-coding	Symbol
LOC111099502	27	NA	NA	NA	NA	NA
LOC111099870	27	111099870	LOC111099870	protein phosphatase 1 regulatory subunit 12B-like	protein-coding	Symbol
LOC111100424	27	111100424	LOC111100424	organic cation transporter protein-like	protein-coding	Symbol
LOC111100581	27	111100581	LOC111100581	uncharacterized LOC111100581	protein-coding	Symbol
LOC111106438	27	111106438	LOC111106438	glutamate receptor-interacting protein 2-like	protein-coding	Symbol
LOC111108786	27	111108786	LOC111108786	protein FAM185A-like	protein-coding	Symbol
LOC111110869	27	NA	NA	NA	NA	NA
LOC111112961	27	NA	NA	NA	NA	NA
LOC111114451	27	111114451	LOC111114451	nuclear receptor ROR-beta-like	protein-coding	Symbol
LOC111117027	27	111117027	LOC111117027	uncharacterized LOC111117027	protein-coding	Symbol
LOC111118453	27	111118453	LOC111118453	uncharacterized LOC111118453	protein-coding	Symbol
LOC111120004	27	NA	NA	NA	NA	NA
LOC111120033	27	111120033	LOC111120033	heparan sulfate glucosamine 3-O-sulfotransferase 6-like	protein-coding	Symbol
LOC111120492	27	111120492	LOC111120492	testis-expressed protein 2-like	protein-coding	Symbol
LOC111120735	27	111120735	LOC111120735	uncharacterized LOC111120735	protein-coding	Symbol
LOC111120975	27	111120975	LOC111120975	BSD domain-containing protein 1-A-like	protein-coding	Symbol
LOC111121099	27	111121099	LOC111121099	WD repeat-containing protein 70-like	protein-coding	Symbol
LOC111122048	27	NA	NA	NA	NA	NA
LOC111123891	27	111123891	LOC111123891	lysine-specific histone demethylase 2-like	protein-coding	Symbol
LOC111124389	27	NA	NA	NA	NA	NA
LOC111125131	27	111125131	LOC111125131	vesicle-associated membrane protein 7-like	protein-coding	Symbol
LOC111125325	27	111125325	LOC111125325	cyclin-dependent kinase 14-like	protein-coding	Symbol
LOC111125677	27	111125677	LOC111125677	uncharacterized LOC111125677	protein-coding	Symbol
LOC111125974	27	111125974	LOC111125974	vacuolar protein sorting-associated protein 37A-like	protein-coding	Symbol
LOC111128661	27	111128661	LOC111128661	uncharacterized LOC111128661	protein-coding	Symbol
LOC111128797	27	111128797	LOC111128797	activin receptor type-2B-like	protein-coding	Symbol
LOC111129938	27	111129938	LOC111129938	echinoderm microtubule-associated protein-like 6	protein-coding	Symbol
LOC111130322	27	111130322	LOC111130322	uncharacterized LOC111130322	protein-coding	Symbol
LOC111130615	27	111130615	LOC111130615	signal recognition particle 14 kDa protein-like	protein-coding	Symbol
LOC111130633	27	111130633	LOC111130633	guanine nucleotide exchange protein SMCR8-like	protein-coding	Symbol
LOC111130847	27	111130847	LOC111130847	calmodulin-lysine N-methyltransferase-like	protein-coding	Symbol
LOC111130902	27	NA	NA	NA	NA	NA
LOC111131492	27	111131492	LOC111131492	ribonuclease P/MRP protein subunit POP5-like	protein-coding	Symbol
LOC111132009	27	111132009	LOC111132009	uncharacterized LOC111132009	protein-coding	Symbol
LOC111132068	27	111132068	LOC111132068	beta-ureidopropionase-like	protein-coding	Symbol
LOC111132836	27	NA	NA	NA	NA	NA
LOC111133148	27	111133148	LOC111133148	phenylalanine--tRNA ligase beta subunit-like	protein-coding	Symbol
