mrna_id	mrna_id_clean	GeneID	Symbol	description	type_of_gene	match_type
LOC111118987	LOC111118987	111118987	LOC111118987	putative G-protein coupled receptor Mth-like 4	protein-coding	Symbol
LOC111118988	LOC111118988	NA	NA	NA	NA	NA
LOC111118989	LOC111118989	111118989	LOC111118989	uncharacterized LOC111118989	protein-coding	Symbol
LOC111118990	LOC111118990	111118990	LOC111118990	polypyrimidine tract-binding protein 1-like	protein-coding	Symbol
LOC111118992	LOC111118992	111118992	LOC111118992	heparan sulfate glucosamine 3-O-sulfotransferase 5-like	protein-coding	Symbol
LOC111118993	LOC111118993	NA	NA	NA	NA	NA
LOC111118994	LOC111118994	111118994	LOC111118994	prostaglandin E2 receptor EP4 subtype-like	protein-coding	Symbol
LOC111118995	LOC111118995	NA	NA	NA	NA	NA
LOC111118997	LOC111118997	111118997	LOC111118997	uncharacterized LOC111118997	protein-coding	Symbol
LOC111118998	LOC111118998	NA	NA	NA	NA	NA
LOC111118999	LOC111118999	111118999	LOC111118999	aquaporin-8-like	protein-coding	Symbol
LOC111119000	LOC111119000	111119000	LOC111119000	putative methyltransferase-like protein 24	protein-coding	Symbol
LOC111119001	LOC111119001	111119001	LOC111119001	monocarboxylate transporter 13-like	protein-coding	Symbol
LOC111119002	LOC111119002	111119002	LOC111119002	uncharacterized LOC111119002	protein-coding	Symbol
LOC111119003	LOC111119003	NA	NA	NA	NA	NA
LOC111119004	LOC111119004	NA	NA	NA	NA	NA
LOC111119005	LOC111119005	111119005	LOC111119005	uncharacterized LOC111119005	protein-coding	Symbol
LOC111119006	LOC111119006	111119006	LOC111119006	protein irg-1-like	protein-coding	Symbol
LOC111119007	LOC111119007	111119007	LOC111119007	proline-rich transmembrane protein 1-like	protein-coding	Symbol
LOC111119008	LOC111119008	NA	NA	NA	NA	NA
LOC111119009	LOC111119009	111119009	LOC111119009	RCC1-like G exchanging factor-like protein	protein-coding	Symbol
LOC111119010	LOC111119010	NA	NA	NA	NA	NA
LOC111119011	LOC111119011	111119011	LOC111119011	uncharacterized protein F54H12.2-like	protein-coding	Symbol
LOC111119012	LOC111119012	111119012	LOC111119012	scavenger receptor cysteine-rich domain-containing protein DMBT1-like	protein-coding	Symbol
LOC111119013	LOC111119013	NA	NA	NA	NA	NA
LOC111119014	LOC111119014	111119014	LOC111119014	maltase-glucoamylase-like	protein-coding	Symbol
LOC111119015	LOC111119015	NA	NA	NA	NA	NA
LOC111119016	LOC111119016	NA	NA	NA	NA	NA
