ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	lnc_id
GO:0005198	structural molecule activity	12/2957	16/8638	0.0010294552957890554	0.016444456260431613	0.014296331400844561	111119586/111114496/111137900/111105293/111120518/111106364/111118678/111133246/111134885/111108609/111114212/111123133	12	rna-XR_002637566.1
GO:0003712	transcription coregulator activity	19/2957	30/8638	0.0010474175962058353	0.016444456260431613	0.014296331400844561	111119637/111118300/111136050/111129295/111137407/111100610/111134531/111133772/111108354/111125760/111125368/111122219/111137901/111123965/111135165/111133969/111128102/111104765/111135038	19	rna-XR_002637566.1
GO:0006511	ubiquitin-dependent protein catabolic process	29/2957	52/8638	0.0011372723018659037	0.017279201747704538	0.015022034819213468	111129998/111135325/111130431/111104018/111118382/111135880/111127912/111133546/111135411/111116995/111122645/111105293/111127468/111103787/111130274/111118011/111114595/111108202/111135796/111124793/111120987/111114538/111129185/111135851/111099982/111130411/111130491/111123841/111099531	29	rna-XR_002637566.1
GO:0006368	transcription elongation by RNA polymerase II	11/2957	15/8638	0.002291848802519642	0.03373314956208598	0.029326617900662526	111132857/111127288/111136643/111136465/111105716/111118595/111111579/111127266/111128103/111131356/111132184	11	rna-XR_002637566.1
GO:0006338	chromatin remodeling	20/2957	34/8638	0.0028217988111118517	0.04027476484950552	0.035013707735965245	111127026/111113171/111136148/111130888/111105716/111125315/111136084/111130152/111101447/111103396/111128837/111136246/111101029/111120127/111136239/111135329/111133731/111107565/111119240/111099580	20	rna-XR_002637566.1
GO:0005783	endoplasmic reticulum	66/2957	146/8638	0.0036295744596521497	0.04943136121549602	0.04297418597123243	111129494/111103667/111138014/111121654/111128545/111121441/111106015/111136404/111103367/111137095/111135553/111136657/111126972/111124585/111134680/111117746/111136083/111119635/111125987/111100861/111120480/111122309/111124793/111132921/111133503/111123325/111122052/111114766/111121140/111120591/111120883/111126467/111130644/111134266/111125459/111126068/111136327/111136530/111133475/111137017/111133811/111138488/111128205/111125815/111121532/111119773/111134472/111108609/111133739/111125951/111104099/111129333/111126835/111132623/111137103/111121482/111134575/111118985/111115072/111115433/111135116/111117721/111135257/111122340/111120492/111138112	66	rna-XR_002637566.1
GO:0005762	mitochondrial large ribosomal subunit	17/2957	28/8638	0.003673243402425394	0.04943136121549602	0.04297418597123243	111137692/111120952/111133190/111124595/111136579/111120981/111136890/111126406/111136154/111126377/111121303/111119576/111135100/111111473/111136749/111134635/111131333	17	rna-XR_002637566.1
GO:0000398	mRNA splicing, via spliceosome	41/2885	52/8638	2.0431980036401162e-11	8.814515218317748e-9	7.846458411766107e-9	111130416/111126498/111131787/111126390/111124615/111100835/111126107/111108450/111125937/111118194/111138363/111136320/111122783/111122502/111125980/111103914/111126234/111138391/111106010/111119055/111125533/111136408/111135499/111111061/111122650/111121238/111124816/111124636/111118582/111103801/111103496/111125036/111108192/111120130/111129301/111137745/111119918/111131012/111138463/111119018/111133954	41	rna-XR_002638049.1
GO:0003729	mRNA binding	52/2885	73/8638	3.7270677455889e-11	8.814515218317748e-9	7.846458411766107e-9	111134475/111100585/111132362/111135552/111099571/111119682/111137076/111126731/111135433/111128793/111136418/111135555/111120648/111136440/111137692/111121303/111137332/111129197/111120873/111122023/111101129/111104062/111120794/111101262/111122645/111129820/111125077/111099053/111137997/111131007/111133022/111124560/111137796/111121745/111136118/111134449/111103496/111103429/111136733/111102803/111100788/111120541/111129301/111134216/111128721/111120525/111121140/111134728/111119018/111122551/111133033/111125240	52	rna-XR_002638049.1
GO:0003743	translation initiation factor activity	29/2885	34/8638	5.66284412235881e-10	8.92841756625239e-8	7.947851399801838e-8	111128159/111130987/111118049/111135733/111137076/111100612/111131638/111119023/111105429/111101262/111099053/111103926/111124589/111124673/111133022/111131036/111138196/111121263/111122210/111118029/111117966/111122026/111130699/111120521/111125652/111134216/111121019/111134482/111133033	29	rna-XR_002638049.1
GO:0003723	RNA binding	154/2885	309/8638	9.135721387826126e-10	1.0802990541104395e-7	9.616548829290661e-8	111125723/111135061/111134501/111121650/111133985/111120515/111124615/111121165/111130413/111129853/111107488/111108729/111107879/111126107/111108450/111130987/111108747/111138363/111118362/111118049/111136320/111135964/111119203/111136764/111128022/111126333/111103325/111135353/111136823/111120863/111120299/111122502/111136820/111136085/111120566/111136413/111129496/111135550/111119116/111116966/111103914/111134942/111118274/111136886/111134422/111123818/111134561/111138157/111119023/111113059/111102762/111135802/111119055/111134658/111105429/111118710/111120897/111128988/111120664/111125533/111122102/111136408/111119781/111101447/111136563/111124589/111118539/111111061/111130565/111131610/111129627/111100616/111118013/111121238/111124525/111132033/111126771/111122308/111125750/111100584/111108479/111122389/111118083/111105199/111120828/111136875/111105526/111123381/111137770/111136635/111122210/111135391/111104145/111130461/111118356/111136530/111130886/111135736/111131690/111134200/111131771/111134317/111137577/111126471/111137383/111112550/111119195/111137215/111130503/111119664/111134707/111125036/111138309/111133148/111129524/111127387/111117964/111120024/111118216/111107584/111110009/111126802/111122996/111126280/111135345/111135374/111135640/111136666/111134482/111115153/111099104/111118510/111137477/111138235/111108358/111136624/111119402/111136911/111126885/111137079/111125986/111100406/111119040/111136425/111135336/111131784/111125367/111137591/111134500/111120891/111120619/111136247/111100592/111120696	154	rna-XR_002638049.1
GO:0042393	histone binding	25/2885	31/8638	8.508276900624293e-8	8.04882994799058e-6	7.164864758420457e-6	111121456/111124177/111112761/111122941/111125315/111120233/111127274/111135445/111127729/111108512/111136968/111100190/111126609/111132857/111134305/111119597/111101447/111136148/111130869/111136084/111138046/111128966/111122838/111120910/111117921	25	rna-XR_002638049.1
GO:0003682	chromatin binding	41/2885	62/8638	1.2805328251013346e-7	1.0094867104548853e-5	8.986195263869017e-6	111136917/111119382/111133682/111123912/111120233/111128754/111125248/111123344/111126926/111130888/111125229/111117840/111137179/111136050/111135445/111135789/111136284/111123852/111131379/111105869/111101447/111136471/111111493/111137485/111134735/111136084/111129021/111118300/111128966/111121771/111105716/111131498/111130564/111132030/111120511/111136120/111129195/111129838/111136415/111124549/111117921	41	rna-XR_002638049.1
GO:0003735	structural constituent of ribosome	61/2885	106/8638	2.4960603497092897e-7	1.6866236363035627e-5	1.5013896840356633e-5	111117002/111128024/111120952/111124595/111128022/111123203/111136579/111126406/111137692/111121303/111136789/111136749/111136890/111108088/111137581/111120981/111133190/111128646/111119576/111134635/111135100/111137006/111128321/111119453/111104145/111126471/111131333/111127769/111126648/111135345/111101507/111118510/111130939/111125796/111126614/111136624/111137903/111120067/111121848/111122600/111119040/111129410/111118126/111119826/111136425/111101860/111114067/111118248/111137591/111134500/111124261/111111438/111120619/111131216/111136247/111128009/111132903/111120557/111126040/111125240/111126128	61	rna-XR_002638049.1
GO:0006457	protein folding	36/2885	54/8638	5.566823519944609e-7	3.29138440616725e-5	2.929907115760321e-5	111120649/111103788/111137483/111136560/111125446/111131153/111128939/111126790/111131136/111100598/111099081/111126088/111129841/111113194/111128545/111134667/111100668/111120828/111123621/111131740/111113446/111122969/111121539/111104099/111125951/111137300/111120186/111099544/111104669/111122516/111099063/111125459/111120591/111115433/111137548/111131116	36	rna-XR_002638049.1
GO:0006260	DNA replication	25/2885	33/8638	7.464009998538194e-7	3.922751921453962e-5	3.491934502240091e-5	111120888/111131693/111136042/111126776/111134654/111135726/111135402/111135545/111130346/111131721/111134622/111119248/111124297/111131379/111137485/111137518/111136551/111125562/111108624/111130057/111130645/111108767/111115333/111136250/111138461	25	rna-XR_002638049.1
GO:0071013	catalytic step 2 spliceosome	23/2885	30/8638	1.469524132669591e-6	6.950849147527165e-5	6.187470032293015e-5	111134501/111120984/111108450/111138363/111136320/111102673/111123045/111136823/111126234/111136408/111135499/111111061/111120267/111130363/111129948/111103496/111125036/111108192/111126802/111135640/111099063/111119018/111133954	23	rna-XR_002638049.1
GO:0005839	proteasome core complex	12/2885	12/8638	1.8974162766748714e-6	8.158889989701947e-5	7.262837422678934e-5	111133546/111130431/111120999/111108182/111136644/111104018/111125779/111116995/111133428/111130411/111127912/111122651	12	rna-XR_002638049.1
GO:0006413	translational initiation	17/2885	20/8638	2.8581674817759297e-6	1.126594349066679e-4	1.0028657830792737e-4	111130987/111118049/111135733/111100612/111131638/111119023/111105429/111099053/111124673/111121263/111117966/111130699/111120521/111125652/111121019/111134482/111133033	17	rna-XR_002638049.1
GO:0005840	ribosome	46/2885	82/8638	1.8487583022333947e-5	6.246161978259969e-4	5.560175345062842e-4	111128024/111128022/111126406/111137692/111121303/111136789/111108088/111137581/111120981/111133190/111128646/111134635/111137006/111104145/111126471/111131333/111127769/111126648/111101507/111118510/111130939/111125796/111126614/111136624/111137903/111120067/111121848/111122600/111119040/111129410/111119826/111136425/111101860/111114067/111118248/111124261/111111438/111120619/111131216/111136247/111128009/111132903/111120557/111126040/111125240/111126128	46	rna-XR_002638049.1
GO:0006412	translation	46/2885	82/8638	1.8487583022333947e-5	6.246161978259969e-4	5.560175345062842e-4	111117002/111128024/111120952/111128022/111118962/111123203/111136579/111126406/111137692/111121303/111108088/111137581/111120981/111121432/111128646/111119576/111137006/111104145/111126471/111131333/111127769/111101507/111118510/111125796/111126614/111120067/111121848/111122600/111119040/111129410/111118126/111119826/111136425/111101860/111114067/111118248/111111438/111120619/111131216/111130240/111128009/111132903/111120557/111126040/111125240/111126128	46	rna-XR_002638049.1
GO:0006606	protein import into nucleus	22/2885	31/8638	2.063201533606734e-5	6.505962169306568e-4	0.00057914429013522365	111121980/111113217/111118796/111118745/111122065/111107093/111131105/111127431/111099524/111100852/111131148/111136185/111137248/111103812/111106364/111136615/111123666/111104027/111122996/111130920/111119931/111103867	22	rna-XR_002638049.1
GO:0003924	GTPase activity	65/2885	131/8638	8.065942326834614e-5	0.0022890596397567315	0.0020376629707414993	111119685/111134153/111108105/111119749/111100691/111135311/111133237/111113270/111105692/111135733/111100808/111131638/111121139/111120036/111130732/111108521/111119767/111131657/111121517/111134146/111120644/111132918/111131818/111125144/111115065/111103926/111124673/111129819/111135002/111138176/111118257/111133155/111124314/111134629/111119448/111102243/111105302/111132906/111136265/111133384/111125294/111118582/111129838/111105912/111120855/111101027/111120116/111100042/111131315/111125079/111116971/111125080/111108255/111120699/111125427/111126975/111101291/111137218/111112915/111102335/111133592/111112319/111125104/111121217/111131730	65	rna-XR_002638049.1
GO:0045271	respiratory chain complex I	17/2885	23/8638	8.227064244368802e-5	0.0022890596397567315	0.0020376629707414993	111121844/111136504/111121087/111118640/111104128/111102448/111138180/111121515/111133766/111133037/111136515/111109666/111121111/111108591/111114769/111136787/111130956	17	rna-XR_002638049.1
GO:0000785	chromatin	27/2885	45/8638	2.2052704863133945e-4	0.005794960777923531	0.005158527453364666	111121456/111127973/111125107/111123809/111130935/111118586/111124749/111127274/111138286/111135485/111117840/111136050/111127026/111129295/111136239/111118225/111134735/111119646/111136084/111118300/111128966/111119195/111129195/111132990/111104765/111108192/111119410	27	rna-XR_002638049.1
GO:0006368	transcription elongation by RNA polymerase II	12/2885	15/8638	2.877630476924994e-4	0.007163785345186959	0.0063770204474792105	111136465/111131356/111136643/111127288/111132857/111127266/111105716/111118595/111111579/111132184/111125674/111128103	12	rna-XR_002638049.1
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	9/2885	10/8638	3.59003878108854e-4	0.008490441717274397	0.007557976381239033	111121844/111136504/111118640/111102448/111138180/111133766/111133037/111130179/111114769	9	rna-XR_002638049.1
