gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
LOC111133618	19.13017	16.1527	3.91561	0.181778	0.321264	18.96468	4.83411	21.44213	0.676157	0.920216	0.0807965	1.284898	2.12592	1.990876	16.549770000000002	0.524751	2.29221	1.53052	2.664144	4.86243	5.3812	16.87836	0.609863	0.368429	18.81058	31.45601
LOC111133619	0	19.1178	64.6327	0	0	16.4535	130.128	0	143.287	0	57.8337	0	0	65.1173	0	0	0	0	0	0	0	28.2561	49.0979	0	30.1195	27.166
LOC111133620	21.7087	1.43383	42.0582	1.34624	1.74023	42.2388	0.667019	23.3988	9.80739	15.1052	0.599996	39.3919	44.066	13.1487	37.7255	14.5269	35.4931	8.99469	11.5116	9.89807	15.6454	20.7596	3.44058	0	22.1248	11.621
LOC111133621	21.7087	32.9781	51.8525	10.0968	2.90039	23.5752	21.3446	19.1444	11.115	5.49279	4.19997	12.2251	3.72389	15.3401	32.3361	13.8953	31.8214	5.62168	19.8254	5.49893	7.22095	27.3649	10.8952	10.3447	13.0146	25.355
LOC111133622	11.8693	21.932	42.039	126.195	167.056	19.8656	69.8799	30.6249	159.439	245.663	143.484	169.192	139.7	77.1903	12.3519	158.019	112.357	200.561	129.206	76.1576	49.8179	24.0596	89.0283	149.796	16.1828	17.3619
LOC111133623	11.8693	21.932	42.039	126.195	167.056	19.8656	69.8799	30.6249	159.439	245.663	143.484	169.192	139.7	77.1903	12.3519	158.019	112.357	200.561	129.206	76.1576	49.8179	24.0596	89.0283	149.796	16.1828	17.3619
LOC111133624	31.7285	8.883	12.5212	0	13.5289	31.4088	8.93657	19.137	10.6535	17.4645	5.1173400000000004	1.61364	5.92127	15.1589	31.1305	7.88322	19.8768	18.699	18.0585	14.3988	16.9146	24.1943	8.15537	4.68725	29.4019	26.6973
LOC111133627	44.9731	27.4988	2.76928	1.30468	0.575682	50.6777	3.90358	24.5493	1.55775	1.31971	0.434701	1.44959	2.4662	1.49099	30.8964	0.642433	2.93824	0.575551	2.03865	678.64	578.762	33.419	2.34261	0.661912	54.1598	31.16
LOC111133628	26.8042	20.9324	4.71816	0.867444	1.56698	27.2301	1.99615	18.7974	1.13107	1.17092	0.599738	2.1415	2.1391	1.43803	30.6065	1.89886	9.84467	0.68223	2.51827	5.44367	5.59406	27.2876	2.40194	1.4848	22.6412	30.0913
LOC111133629	3.1927699999999994	5.062361000000001	25.62981	0.60482	1.40028	6.955119999999999	6.96312	12.3706	2.7197820000000004	0.153182	2.135284	2.3260229999999997	2.22669	7.089639999999999	7.307020000000001	3.17976000181247	31.382519999999992	4.834988999999999	1.93283	4.442958999999999	2.11926	10.59087	2.407316	2.0533989999999998	1.54438	6.651236000000001
LOC111133630	24.2068	23.2476	16.8827	1.63761	2.915297	25.24473	20.0928	28.63066	3.63501	6.209149999999999	3.1749	4.977740000000001	9.00664	5.5648	22.324	7.6243	13.12549875	6.703	6.51804	8.98189	17.02545	27.8186	1.42989	3.5018	25.460914499999998	27.0911
LOC111133631	31.4308	18.6838	21.4724	72.9085	92.1956	29.115	49.8505	39.9028	67.7692	80.1196	73.9694	73.9764	48.9237	46.6168	27.0547	65.1811	28.214	70.8423	65.2652	52.931	28.7644	19.3714	53.9954	84.7674	28.9705	32.0116
LOC111133632	31.5576	18.7297	0.42719228472000004	0.38398350447	0.808951	31.11	2.0928033868	32.4203	0.40804515777	0.58311456244	0.337944	0.844684	1.72585	0.954825	28.4417	0.65869	1.08013	0.6795026085	2.1854	3.75693	7.18426035793	25.1964	0.819893	0.155666404691	25.855813363899998	27.529
LOC111133633	0	0	0.18862	0.210432	0.593733	18.2596	0.457291	12.638	0	0.425433	0	3.27361	0	1.40179	18.8003	0	38.1444	1.66759	1.31223	5.42733	5.53798	8.17457	0	1.02574	0	17.9268
LOC111133634	32.0892	28.8918	0.286827	0.376959	0.457147	30.8298	2.40958	23.7199	0.515445	39.2747	0.478841	1.13657	1.0326	1.114	30.7815	0.318332	1.93655	0.668259	1.69194	4.99138	10.7477	30.1146	0.929628	0.349043	31.3102	33.0347
LOC111133635	26.9738	22.7	2.6053	1.23719	1.986966	28.6814	3.67628	22.386	1.792234	0.910734	1.499508	0.999628	2.2689	2.9852	27.7248	0.886282	11.61416	1.79004	2.46652	4.13754	9.77448	28.6064	2.04782	1.733136	26.0544	27.5158
LOC111133636	20.6425	26.7023	0.185837	0.557227	0.325032	24.7818	1.98856	24.1733	0.0888427	0.211584	0.390109	0	1.82154	0	18.1236	0	1.35673	0.517961	1.57337	2.52936	8.77186	29.8362	0.480773	0.880813	23.681	30.3155
LOC111133637	29.5416	23.2393	0.814212	0.917908	3.129378	28.6962	2.95615	25.61254309	1.908436	0.7185621	0.7420580999999999	3.19778	1.726586	2.82523618478	28.87961167	1.27461	5.954330000000001	0.961399	3.6725760000000003	4.26418	6.92718	27.1616106098	3.27665238942	3.210795	25.04914668	29.80650000567893
LOC111133639	24.9525	21.0127	16.1309	60.3036	59.2583	25.9302	28.7601	30.095	59.0215	61.7611	44.7384	104.777	54.2748	30.8421	25.3117	59.3195	22.0194	56.5267	46.451	7.709	13.2591	25.2855	42.8363	41.852	26.2358	26.0305
LOC111133640	36.3156	42.2868	0.254355	0.564999	0.796011	39.8169	3.06343	48.8039	0.598266	1.4265	0.250768	0.62794	3.41384	26.6561	38.9231	3.89323	4.29518	8.18396	3.21842	10.2153	13.9793	40.4439	1.08033	8.73252	53.2862	38.3695
LOC111133641	24.8431	21.8625	6.92752	42.282	31.9073	26.1876	15.9279	28.484	41.3755	29.4013	46.8185	50.3055	30.3162	14.7261	24.363	25.2211	19.841	32.1419	36.3814	70.2004	22.1194	23.9803	45.4379	34.7789	21.3793	32.0258
LOC111133642	47.3724	42.1889	71.1937	294.779	286.968	52.2054	110.878	50.7043	300.904	267.781	295.32	240.722	150.832	82.2417	40.4691	230.489	170.024	269.801	200.781	72.126	44.4575	43.3824	155.04	249.598	48.9612	36.1533
LOC111133643	19.3137	11.746	0.319426	0.100083	0.401064	6.67161	0.588627	6.74794	0.20041	0	0	1.13386	1.34785	0.422792	9.11675	0.54326	1.64489	0.281824	0.231429	2.84871	10.0744	14.2565	0.274013	0.1529	4.55015	28.2994
LOC111133644	24.7014	17.6651	9.25825	0.162817	0.210112	16.901	1.45338	23.6396	0.413692	1.62337	0	0.0469551	1.89672	1.57671	19.8331	0.29368	6.43377	2.4601	1.8475	2.76484	6.28315	19.4151	0.361317	1.15508	22.6634	27.8728
